ref;nome;medida;PP;P;M;G;GG
CP272410;Blusa de Renda;busto;80-84;84-88;88-92;92-96;96-100
CI262047.1;Casaco Liso com Bolso;busto;0-84;85-89;90-94;95-100;101-999
CI262033.2;Saia com Costuras Contrastantes;cintura;0-66;67-73;74-80;81-88;89-96
CI262033.2;Saia com Costuras Contrastantes;quadril;0-92;93-98;99-106;107-114;115-999
CI261910.2;Calça Alfaiataria;cintura;0-66;67-73;74-80;81-88;89-96
CI261910.2;Calça Alfaiataria;quadril;0-92;93-98;99-106;107-114;115-999
CI261847.2;Saia Peplum;cintura;0-70;71-78;79-86;87-94;95-999
CI261847.2;Saia Peplum;quadril;0-92;93-98;99-106;107-114;115-999
CP272488;Vestido Regata Longo com Cinto;busto;0-84;85-89;90-94;95-100;101-999
CP272488;Vestido Regata Longo com Cinto;cintura;0-66;67-73;74-80;81-88;89-999
CP272481.1;Blusa Ombro Só;busto;0-84;85-89;90-94;95-100;101-999
CP272487;Saia Longa em Camadas de Renda;cintura;0-66;67-73;74-80;81-88;89-999
CP272487;Saia Longa em Camadas de Renda;quadril;0-92;93-98;99-106;107-114;115-999
CP272474.2;Saia de Listras com Cadeirão;cintura;0-66;67-73;74-80;81-88;89-999
CP272474.2;Saia de Listras com Cadeirão;quadril;0-92;93-98;99-106;107-114;115-999
CP272438;Blusa Alongada de Renda;busto;0-84;85-89;90-94;95-100;101-999
CP272486;Vestido Longo em Camadas de Renda;busto;0-84;85-89;90-94;95-100;101-999
CP272486;Vestido Longo em Camadas de Renda;cintura;0-66;67-73;74-80;81-88;89-999
CP272390;Blazer Estruturado com Botões;busto;0-84;85-89;90-94;95-100;101-999
CP272591;Top de Listras;busto;0-84;85-89;90-94;95-100;101-999
